time,Qwen2.5-3B_weight_pages,Qwen2.5-3B_kv_pages,Qwen2.5-7B#0_weight_pages,Qwen2.5-7B#0_kv_pages,activation_pages,total_pages,total_gb
13:57:43,3250,1152,7273,896,107,12678,24.762
13:57:44,3250,1224,7273,896,173,12816,25.031
13:57:45,3250,1224,7273,896,173,12816,25.031
13:57:46,3250,1224,7273,896,172,12815,25.029
13:57:47,3250,1224,7273,952,234,12933,25.26
13:57:48,3250,1224,7273,952,237,12936,25.266
13:57:49,3250,1224,7273,952,235,12934,25.262
13:57:50,3250,1224,7273,952,214,12913,25.221
13:57:51,3250,1224,7273,952,236,12935,25.264
13:57:52,3250,1224,7273,952,262,12961,25.314
13:57:53,3250,1224,7273,952,253,12952,25.297
13:57:54,3250,1224,7273,952,263,12962,25.316
13:57:55,3250,1296,7273,952,266,13037,25.463
13:57:56,3250,1296,7273,952,267,13038,25.465
13:57:57,3250,1296,7273,952,287,13058,25.504
13:57:58,3250,1296,7273,952,282,13053,25.494
13:57:59,3250,1296,7273,952,283,13054,25.496
13:58:00,3250,1296,7273,1008,284,13111,25.607
13:58:01,3250,1296,7273,1008,285,13112,25.609
13:58:02,3250,1368,7273,1008,287,13186,25.754
13:58:03,3250,1368,7273,1008,288,13187,25.756
13:58:04,3250,1368,7273,1064,290,13245,25.869
13:58:05,3250,1368,7273,1064,292,13247,25.873
13:58:06,3250,1440,7273,1064,286,13313,26.002
13:58:07,3250,1440,7273,1064,288,13315,26.006
13:58:08,3250,1440,7273,1120,287,13370,26.113
13:58:09,3250,1440,7273,1120,291,13374,26.121
13:58:10,3250,1512,7273,1120,289,13444,26.258
13:58:11,3250,1512,7273,1120,290,13445,26.26
13:58:12,3250,1512,7273,1120,289,13444,26.258
13:58:13,3250,1512,7273,1176,294,13505,26.377
13:58:14,3250,1512,7273,1176,291,13502,26.371
13:58:15,3250,1512,7273,1176,289,13500,26.367
13:58:16,3250,1584,7273,1176,293,13576,26.516
13:58:17,3250,1584,7273,1232,290,13629,26.619
13:58:18,3250,1584,7273,1232,289,13628,26.617
13:58:19,3250,1584,7273,1232,290,13629,26.619
13:58:20,3250,1584,7273,1288,293,13688,26.734
13:58:21,3250,1656,7273,1288,288,13755,26.865
13:58:22,3250,1656,7273,1288,288,13755,26.865
13:58:23,3250,1656,7273,1288,289,13756,26.867
13:58:24,3250,1656,7273,1344,295,13818,26.988
13:58:25,3250,1656,7273,1344,288,13811,26.975
13:58:26,3250,1728,7273,1344,293,13888,27.125
13:58:27,3250,1728,7273,1400,296,13947,27.24
13:58:28,3250,1728,7273,1400,292,13943,27.232
13:58:29,3250,1728,7273,1400,290,13941,27.229
13:58:30,3250,1800,7273,1456,292,14071,27.482
13:58:31,3250,1800,7273,1456,289,14068,27.477
13:58:32,3250,1800,7273,1456,296,14075,27.49
13:58:33,3250,1800,7273,1512,297,14132,27.602
13:58:34,3250,1800,7273,1512,309,14144,27.625
13:58:35,3250,1872,7273,1512,299,14206,27.746
13:58:36,3250,1872,7273,1568,293,14256,27.844
13:58:37,3250,1872,7273,1568,296,14259,27.85
13:58:38,3250,1872,7273,1624,292,14311,27.951
13:58:39,3250,1872,7273,1624,297,14316,27.961
13:58:40,3250,1944,7273,1624,293,14384,28.094
13:58:41,3250,1944,7273,1680,295,14442,28.207
13:58:42,3250,1944,7273,1680,301,14448,28.219
13:58:43,3250,1944,7273,1680,302,14449,28.221
13:58:44,3250,1944,7273,1736,298,14501,28.322
13:58:45,3250,2016,7273,1736,299,14574,28.465
13:58:46,3250,2016,7273,1792,299,14630,28.574
13:58:47,3250,2016,7273,1792,300,14631,28.576
13:58:48,3250,2016,7273,1848,300,14687,28.686
13:58:49,3250,2088,7273,1848,300,14759,28.826
13:58:50,3250,2088,7273,1904,331,14846,28.996
13:58:51,3250,2088,7273,1904,308,14823,28.951
13:58:52,3250,2088,7273,1904,307,14822,28.949
13:58:53,3250,2160,7273,1904,305,14892,29.086
13:58:54,3250,2160,7273,1904,308,14895,29.092
13:58:55,3250,2160,7273,1904,306,14893,29.088
13:58:56,3250,2160,7273,1904,301,14888,29.078
13:58:57,3250,2232,7273,1960,310,15025,29.346
13:58:58,3250,2232,7273,1960,311,15026,29.348
13:58:59,3250,2232,7273,1960,309,15024,29.344
13:59:00,3250,2232,7273,1960,311,15026,29.348
13:59:01,3250,2304,7273,2016,304,15147,29.584
13:59:02,3250,2304,7273,2072,311,15210,29.707
13:59:03,3250,2304,7273,2072,365,15264,29.812
13:59:04,3250,2304,7273,2072,312,15211,29.709
13:59:05,3250,2304,7273,2072,310,15209,29.705
13:59:06,3250,2304,7273,2072,313,15212,29.711
13:59:07,3250,2304,7273,2128,310,15265,29.814
13:59:08,3250,2376,7273,2128,312,15339,29.959
