ts,chip0_aicore,chip0_aicube,chip0_aivector,chip0_hbm_use,chip0_hbm_bw,chip0_npu_util
1788155861.102,0,0,0,86,0,0
1788155863.062,0,0,0,86,0,0
1788155865.142,54,42,11,86,0,79
1788155867.065,60,15,14,86,50,86
1788155869.017,60,44,15,86,0,86
1788155871.058,76,68,12,86,49,100
1788155872.987,74,63,9,86,77,86
1788155874.905,82,69,12,86,73,96
1788155876.973,81,71,13,86,76,89
1788155878.941,87,67,15,86,77,89
1788155880.857,85,67,18,86,76,93
1788155882.928,87,67,16,86,74,96
1788155884.881,86,63,20,86,72,96
1788155886.830,82,64,18,86,71,89
1788155888.873,83,59,18,86,72,93
1788155890.806,84,63,19,86,69,96
1788155892.864,90,62,16,86,71,89
1788155894.925,85,64,18,86,72,93
1788155896.857,93,72,17,86,76,100
1788155898.793,85,65,18,86,75,96
1788155900.833,89,65,19,86,71,96
1788155902.763,88,65,20,86,72,100
1788155904.806,87,65,20,86,73,96
1788155906.749,85,62,19,86,69,96
1788155908.679,90,64,20,86,71,96
1788155910.710,93,66,20,86,72,96
1788155912.629,92,63,22,86,69,93
1788155914.670,85,62,19,86,68,86
1788155916.707,89,67,24,86,69,96
1788155918.633,88,64,21,86,68,96
1788155920.569,92,67,20,86,69,100
1788155922.607,92,62,23,86,64,96
1788155924.548,93,68,25,86,69,93
1788155926.478,91,64,25,86,66,93
1788155928.637,93,62,24,86,67,86
1788155930.583,92,64,25,86,64,100
1788155932.526,94,65,24,86,67,96
1788155934.577,91,64,25,86,68,100
1788155936.509,94,64,23,86,65,96
1788155938.436,90,64,23,86,66,96
1788155940.480,88,62,23,86,69,96
1788155942.414,89,62,23,86,67,96
1788155944.346,92,61,22,86,64,96
1788155946.417,89,59,24,86,64,93
1788155948.353,88,67,25,86,69,100
