wall_time_ns,elapsed_s,gpu_index,physical_gpu_index,gpu_uuid,gpu_name,utilization_gpu_pct,utilization_mem_pct,memory_used_mb,memory_free_mb,memory_total_mb,memory_used_pct,power_w
1788255195545585903,0.000086,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,6,2,56228.38,25691.62,81920.00,68.6382,131.91
1788255195545585903,0.000086,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,0,0,55579.00,26341.00,81920.00,67.8455,83.03
1788255196070643440,0.525144,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,112.69
1788255196070643440,0.525144,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,9,1,55617.00,26303.00,81920.00,67.8918,112.43
1788255196277260951,0.731761,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,112.69
1788255196277260951,0.731761,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,29,17,55617.00,26303.00,81920.00,67.8918,165.87
1788255196484651007,0.939151,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,112.69
1788255196484651007,0.939151,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,41,24,55617.00,26303.00,81920.00,67.8918,183.25
1788255196691144034,1.145644,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,112.69
1788255196691144034,1.145644,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,40,24,55617.00,26303.00,81920.00,67.8918,171.58
1788255196898778368,1.353278,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,112.69
1788255196898778368,1.353278,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,40,24,55617.00,26303.00,81920.00,67.8918,173.67
