wall_time_ns,elapsed_s,gpu_id,sm_active,sm_occupancy,tensor_active,fp32_active,fp16_active,fp64_active,dram_active,gpu_util_pct,fb_used_mib
1788255192652614456,0.093636,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255192652652387,0.093673,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255192854039104,0.295060,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255192854070383,0.295091,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255193055512846,0.496534,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255193055544295,0.496565,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255193257097691,0.698119,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255193257134535,0.698155,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255193458547409,0.899569,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255193458581602,0.899602,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255193660376139,1.101398,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255193660416555,1.101438,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255193862281751,1.303303,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255193862318846,1.303340,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255194064086212,1.505108,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255194064119716,1.505141,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255194265880635,1.706902,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255194265912706,1.706933,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255194467758489,1.908780,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255194467792158,1.908813,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255194669553046,2.110575,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255194669588935,2.110610,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255194871545634,2.312567,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255194871570445,2.312591,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54820
1788255195073510150,2.514532,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255195073552076,2.514573,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6,55492
1788255195275364124,2.716386,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255195275398438,2.716419,2,0.000,0.000,0.000,0.000,0.000,0.000,0.008,54,55492
1788255195477307563,2.918329,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54208
1788255195477342636,2.918363,2,0.039,0.034,0.000,0.000,0.000,0.000,0.036,74,55526
1788255195679299225,3.120321,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,54880
1788255195679332193,3.120353,2,0.056,0.006,0.020,0.000,0.000,0.000,0.023,6,55530
1788255195881096215,3.322118,3,0.000,0.000,0.000,0.000,0.000,0.000,0.008,28,54880
1788255195881121166,3.322142,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255196082936285,3.523957,3,0.039,0.034,0.000,0.000,0.000,0.000,0.038,100,54914
1788255196082963841,3.523985,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255196284753110,3.725775,3,0.076,0.020,0.017,0.000,0.000,0.000,0.030,9,54918
1788255196284779887,3.725801,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255196486593239,3.927615,3,0.250,0.066,0.057,0.009,0.000,0.000,0.189,29,54918
1788255196486620820,3.927642,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255196688394139,4.129416,3,0.000,0.000,0.000,0.011,0.000,0.000,0.191,41,54918
1788255196688418671,4.129440,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255196890244894,4.331266,3,0.249,0.067,0.056,0.010,0.000,0.000,0.194,40,54918
1788255196890268837,4.331290,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255197091981568,4.533003,3,0.241,0.064,0.054,0.011,0.000,0.000,0.191,40,54918
1788255197092006427,4.533027,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255197293758084,4.734779,3,0.242,0.065,0.055,0.010,0.000,0.000,0.190,41,54918
1788255197293785239,4.734806,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255197495512502,4.936534,3,0.245,0.065,0.055,0.010,0.000,0.000,0.192,40,54918
1788255197495550656,4.936572,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255197697220456,5.138242,3,0.249,0.067,0.056,0.010,0.000,0.000,0.195,41,54918
1788255197697242901,5.138264,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255197898940459,5.339962,3,0.000,0.000,0.000,0.009,0.000,0.000,0.178,40,54918
1788255197898964786,5.339986,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255198100662343,5.541683,3,0.206,0.055,0.047,0.009,0.000,0.000,0.163,34,54918
1788255198100685223,5.541706,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255198302472868,5.743495,3,0.191,0.051,0.043,0.008,0.000,0.000,0.154,34,54918
1788255198302499161,5.743520,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255198506868754,5.947890,3,0.172,0.046,0.038,0.007,0.000,0.000,0.139,30,54918
1788255198506896388,5.947917,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255198708802708,6.149824,3,0.191,0.051,0.043,0.007,0.000,0.000,0.141,29,54918
1788255198708832104,6.149853,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255198910621318,6.351643,3,0.177,0.047,0.040,0.007,0.000,0.000,0.136,29,54918
1788255198910646586,6.351667,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255199112458082,6.553480,3,0.166,0.045,0.037,0.006,0.000,0.000,0.127,26,54918
1788255199112483941,6.553505,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255199314199303,6.755221,3,0.147,0.039,0.033,0.010,0.000,0.000,0.146,26,54918
1788255199314226672,6.755248,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255199517027508,6.958049,3,0.192,0.051,0.043,0.010,0.000,0.000,0.165,36,54918
1788255199517071877,6.958093,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255199719239199,7.160261,3,0.225,0.060,0.054,0.009,0.000,0.000,0.162,38,54918
1788255199719272708,7.160294,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
1788255199921458235,7.362480,3,0.225,0.061,0.053,0.009,0.000,0.000,0.162,35,54918
1788255199921495508,7.362517,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,55530
